"Gene.symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"BAHCC1"	2.06053181755395	2.6765534931788	14.1483184664104	2.93525598189003e-10	1.45416952497722e-08	13.9277180611061
"CCL3"	2.0432799848343	4.83806835941343	12.1770785491379	2.49205000052589e-09	8.19160820457437e-08	11.4944683335506
"AC069363.1"	2.03759791980729	4.84524965642216	12.1412549995207	2.5975944845547e-09	8.46929981942176e-08	11.4500199804832
"GBP2"	2.02883981696534	6.26575822365206	17.5747962127782	1.23729780061729e-11	1.10685303751704e-09	16.8369047784319
"HIST2H2AA4"	2.02827125084053	3.36176049261148	12.0492299230156	2.89100586311137e-09	9.23496621529356e-08	11.5761195581616
"NOD2"	2.0258578595035	1.14398609562775	8.46946521454718	3.39048332161461e-07	5.07631489414493e-06	6.97876501493912
"EPB41L5"	2.02536915744499	1.25573629582113	9.64445783001578	6.15482983663313e-08	1.18837614698203e-06	8.65671487555636
"SCO2"	2.00783187818117	6.39891106989045	20.6022553384657	1.16610250380247e-12	1.67410941715254e-10	19.2753472777591
"MS4A6A"	-2.00644577449105	1.58812606698783	-11.4148258004197	6.15984111880588e-09	1.71072529792484e-07	10.8986102365859
"RP13-452N2.1"	1.99375728558537	2.89938708661914	14.4934834970909	2.07260310888969e-10	1.11495740785962e-08	14.2721197390153
"XXBAC-BPG116M5.17"	1.98888657548675	2.23015915281801	13.4211253078398	6.26256957680271e-10	2.60481924313649e-08	13.1707325204357
"SEMA4D"	1.97686365614063	3.73873061867234	13.9522230778121	3.58867600009861e-10	1.70817139448544e-08	13.6580668825529
"LY6E"	1.97166944552213	7.02434658499245	35.0660214863869	3.71264578703367e-16	2.54202001156821e-13	27.4499519701542
"APOBEC3G"	1.96712803606028	4.76323499233659	18.2558335800223	7.05150511363949e-12	7.13243716096649e-10	17.5642638552519
"RARRES3"	1.9619273533991	1.15841791492627	9.37687790702391	8.95569331082641e-08	1.64543745389449e-06	8.28925306284521
"MGAM"	-1.94615787233303	2.8366852008626	-12.7853927726197	1.25070897706648e-09	4.68739393889209e-08	12.4930649219942
"RP11-815N9.2"	1.93948857845841	3.8829816869737	19.0955359885708	3.61780876827819e-12	4.03005768046147e-10	18.292555385959
"RP11-274E7.2"	1.92448037174666	5.26529999580467	22.0803183127077	4.13023174715946e-13	7.27984015474581e-11	20.4198002542966
"RP1-111C20.4"	1.91658070998107	6.49204785321269	18.292773266998	6.8434689799253e-12	6.9615677017503e-10	17.4327467560043
"S100A8"	-1.91468207903561	2.37551459070743	-11.6998010275104	4.36731003727515e-09	1.27245259056583e-07	11.2575756739737
"C19ORF66"	1.91188000403622	5.17096589382013	20.8483732699029	9.76375816772653e-13	1.43648283389973e-10	19.5495077201709
"CD180"	-1.9110670131087	3.10274943296044	-14.366303572028	2.35415068130321e-10	1.21474175155246e-08	14.1417955366281
"GPR84"	1.91086004927992	2.12388104456201	13.444643585165	6.10762798231522e-10	2.55230031317313e-08	13.189686433172
"NFE2L3"	1.91040741063828	3.95462676309966	14.8591711904611	1.44471994442816e-10	8.11321906962464e-09	14.5611245797441
